,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,tdor0004.xml,1,2,2,μᾶρκον,grc,0,,,,,
1,1,tdor0004.xml,2,2,2,πάκκιον,grc,0,,,,,
2,2,tdor0004.xml,3,2,2,ποκίου,grc,0,,,,,
3,3,tdor0004.xml,4,3,3,υἱὸν,grc,0,,,,,
4,4,tdor0004.xml,5,3,3,κυρείνα,grc,0,,,,,
5,5,tdor0004.xml,6,3,3,σιλουᾶνον,grc,0,,,,,
6,6,tdor0004.xml,7,3,3,κόιντον,grc,0,,,,,
7,7,tdor0004.xml,8,4,4,κορήδιον,grc,0,,,,,
8,8,tdor0004.xml,9,4,4,γᾶλλον,grc,0,,,,,
9,9,tdor0004.xml,10,4,4,γαργίλιον,grc,0,,,,,
10,10,tdor0004.xml,11,5,5,ἀντείχουον,grc,0,,,,,
11,11,tdor0004.xml,12,5,5,πρεσβευτὴν,grc,0,,,,,
12,12,tdor0004.xml,13,6,6,σεβαστου,grc,0,,,,,
13,13,tdor0004.xml,14,6,6,ἀντιστράτηγον,grc,0,,,,,
14,14,tdor0004.xml,15,7,7,ἐπαρχείας,grc,0,,,,,
15,15,tdor0004.xml,16,7,7,συρίας,grc,0,,,,,
