,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,tibe0006.xml,1,1,1,μνησθῇ,grc,0,,,,,
1,1,tibe0006.xml,2,1,1,εἰς,grc,0,,,,,
2,2,tibe0006.xml,3,1,1,ἀγαθὸν,grc,0,,,,,
3,3,tibe0006.xml,4,1,1,καὶ,grc,0,,,,,
4,4,tibe0006.xml,5,1,1,εἰς,grc,0,,,,,
5,5,tibe0006.xml,6,2,2,εὐλογίαν,grc,0,,,,,
6,6,tibe0006.xml,7,2,2,προφοτοῦρος,grc,0,,,,,
7,7,tibe0006.xml,8,2,2,ὁ,grc,0,,,,,
8,8,tibe0006.xml,9,2,3,μιζό,grc,0,,,,,
9,9,tibe0006.xml,10,3,3,τερος,grc,0,,,,,
10,10,tibe0006.xml,11,3,3,ἐποίησεν,grc,0,,,,,
11,11,tibe0006.xml,12,3,3,τὴν,grc,0,,,,,
12,12,tibe0006.xml,13,3,3,στοὰν,grc,0,,,,,
13,13,tibe0006.xml,14,3,4,ταύ,grc,0,,,,,
14,14,tibe0006.xml,15,4,4,την,grc,0,,,,,
15,15,tibe0006.xml,16,4,4,τοῦ,grc,0,,,,,
16,16,tibe0006.xml,17,4,4,ἁγίου,grc,0,,,,,
17,17,tibe0006.xml,18,4,4,τόπου,grc,0,,,,,
18,18,tibe0006.xml,19,4,4,ἐυλογία,grc,0,,,,,
19,19,tibe0006.xml,20,4,4,αὐτῷ,grc,0,,,,,
20,20,tibe0006.xml,21,5,5,ἀμήν,grc,0,,,,,
21,21,tibe0006.xml,22,5,5,שלום,grc,0,,,,,
