,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,zoor0244.xml,1,2,2,εἶς,grc,0,,,,,
1,1,zoor0244.xml,2,2,2,θεός,grc,0,,,,,
2,2,zoor0244.xml,3,2,2,ὀ,grc,0,,,,,
3,3,zoor0244.xml,4,3,3,πάντων,grc,0,,,,,
4,4,zoor0244.xml,5,3,3,δεσπότης,grc,0,,,,,
5,5,zoor0244.xml,6,3,3,μνημεῖον,grc,0,,,,,
6,6,zoor0244.xml,7,3,3,ζανάγω,grc,0,,,,,
7,7,zoor0244.xml,8,4,4,νος,grc,0,,,,,
8,8,zoor0244.xml,9,4,4,ἀποθανό,grc,0,,,,,
9,9,zoor0244.xml,10,5,5,ντης,grc,0,,,,,
10,10,zoor0244.xml,11,5,5,μετὰ,grc,0,,,,,
11,11,zoor0244.xml,12,5,5,κα,grc,0,,,,,
12,12,zoor0244.xml,13,6,6,λοῦ,grc,0,,,,,
13,13,zoor0244.xml,14,6,6,ὀνόματος,grc,0,,,,,
14,14,zoor0244.xml,15,6,6,καὶ,grc,0,,,,,
15,15,zoor0244.xml,16,6,6,καλῆς,grc,0,,,,,
16,16,zoor0244.xml,17,7,7,πίστεως,grc,0,,,,,
17,17,zoor0244.xml,18,7,7,ἐτ,grc,0,,,,,
18,18,zoor0244.xml,19,8,8,ῶν,grc,0,,,,,
19,19,zoor0244.xml,20,8,8,μʹ,grc,0,,,,,
20,20,zoor0244.xml,21,8,8,ἐν,grc,0,,,,,
21,21,zoor0244.xml,22,8,8,ἔτει,grc,0,,,,,
22,22,zoor0244.xml,23,9,9,τπαʹ,grc,0,,,,,
23,23,zoor0244.xml,24,9,9,ἐν,grc,0,,,,,
24,24,zoor0244.xml,25,9,9,μηνὶ,grc,0,,,,,
25,25,zoor0244.xml,26,9,9,γορπιαίου,grc,0,,,,,
26,26,zoor0244.xml,27,9,9,ιαʹ,grc,0,,,,,
27,27,zoor0244.xml,28,9,9,ἐν,grc,0,,,,,
28,28,zoor0244.xml,29,9,9,ἡ,grc,0,,,,,
29,29,zoor0244.xml,30,10,10,μέρᾳ,grc,0,,,,,
30,30,zoor0244.xml,31,10,10,ςʹ,grc,0,,,,,
31,31,zoor0244.xml,32,10,10,θάρσει,grc,0,,,,,
32,32,zoor0244.xml,33,11,11,οὐδείς,grc,0,,,,,
33,33,zoor0244.xml,34,11,11,ἀθανα,grc,0,,,,,
34,34,zoor0244.xml,35,12,12,τος,grc,0,,,,,
35,35,zoor0244.xml,36,12,12,+,grc,0,,,,,
